PROCESSO_ANATEL;CREDENCIADAS_VIGENTES
53500.062229/2024-49;VEEM TELECOM LTDA
53500.062231/2024-18;MEGA IP CONNECT LTDA
53500.071447/2024-74;ZAMIX MULTIPLAY TELECOMUNICAÇÕES LTDA
53500.076803/2024-46;IMPACTO CONECTIVIDADE E INCLUSÃO DIGITAL LTDA
53500.076795/2024-38;LIGGA TELECOMUNICAÇÕES S.A.
53500.076804/2024-91;LIGGA TELECOMUNICAÇÕES S.A.
53500.083043/2024-23;MAISAGIL FRANQUIAS LTDA
53500.087081/2024-55;BRASIL TECPAR SERVIÇOS DE TELECOMUNICAÇÕES S.A.
53500.088363/2024-70;SICOVE DO BRASIL LTDA
53500.095040/2024-32;SALVY LTDA
53500.096352/2024-63;NIPTELECOM TELECOMUNICAÇÕES LTDA
53500.096819/2024-75;NIPCABLE DO BRASIL TELECOM LTDA
53500.101305/2024-49;SOLUÇÃO NETWORK PROVEDOR LTDA
53500.102259/2024-03;HYPECON TELECOM LTDA
53500.103970/2024-77;KORE BRASIL LTDA
53500.003768/2025-27;VONO TECNOLOGIA LTDA
53500.003780/2025-31;NEW VOICE TELECOMUNICAÇÕES LTDA
53500.004744/2025-95;PLAY MÓVEL SERVIÇOS DE INTERNET LTDA
53500.010717/2025-51;MHNET TELECOMUNICAÇÕES LTDA
53500.015546/2025-57;COMPANHIA ITABIRANA DE TELECOMUNICAÇÕES LTDA
53500.015552/2025-12;NOVATEL TELECOM LTDA
53500.019617/2025-91;TWO GLOBAL LTDA
53500.019620/2025-12;ADRIANO TELECOM LTDA
53500.019642/2025-74;N3 SOLUÇÕES CUSTOMIZADAS LTDA
53500.019644/2025-63;REBIRTH DESENVOLVIMENTOS PROFISSIONAIS LTDA
53500.024801/2025-52;4NET SOLUÇÕES EM TELECOMUNICAÇÕES LTDA
53500.024797/2025-22;ONCALL SOLUÇÕES EM TECNOLOGIA LTDA
53500.024792/2025-08;MAXX PROJETOS E CONSULTORIA EM TI LTDA
53500.024791/2025-55;MAX NET TELECOMUNICAÇÕES LTDA
53500.024787/2025-97;MEUSYS TECNOLOGIA LTDA
53500.024805/2025-31;TEL & GLOBE COMUNICAÇÃO LTDA
53500.030079/2025-95;MIO TELECOM LTDA
53500.033930/2025-31;VOXCITY TECNOLOGIA LTDA
53500.037709/2025-52;BR SISTEMAS LTDA
53500.037707/2025-63;BCS11 PARTICIPAÇÕES S.A.
53500.038563/2025-62;LIVE OPTICAL FIBER LTDA
53500.041025/2025-55;RD BRASIL TELECOMUNICAÇÕES LTDA
